NIU;Cod Conexión;Tipo de C;Nivel de T;Nivel de T Primario;% propiedad;Conex de Red;ID CX;ID MERCADO;Grupo de Calidad;Cod frontera;Cod Circuito;Cod Trafo;Cod DANE;Ubicación;Direccion;Cond Especiales;Tipo de Area Esp;Cod Area Esp;Estrato;Altitud;Longitud;Latitud;Autogenerador;Exporta Energia;Capacid Autogenerador;Tipo de generacion;Codig frontera Aut;Fecha entrada en operación;Contrato de respaldo;Capacidad respaldo
2775431;3090TR1;2;2;0;101;2;62071;176;11;Frt11775;BO32;3090TR1;11001000;2;K 77J NO 65 A  23 S ;9;0;0;7;2630;-74.18210556;4.598710836;3;;;;;;;
3601975;82840TR1;2;2;0;101;2;62071;176;11;Frt46952;MO32;82840TR1;25473000;2;CARRERA 13 A NO 7 54 INTERIOR 3;9;0;0;7;2549;-74.23206;4.71464017;3;;;;;;;
2775028;34865TR1;2;2;0;101;2;62071;176;11;Frt47240;LP23;34865TR1;11001000;2;CL 17 NO 69 85;0;0;0;8;2584;-74.12239214;4.644533172;3;;;;;;;
4707671;87585TR1;2;1;3;0;1;62071;176;11;Frt47174;ZP22D;87585TR1;25899000;2;CL 11 NO 37 58 BG 3;9;0;0;7;2616;-73.97941199;5.0301001699;3;;;;;;;
2497156;13227TR1;2;1;2;100;1;62071;176;11;Frt46959;MO17;13227TR1;25473000;2;KR 13 A NO 7 54;9;0;0;7;2563;-74.232072;4.71485617;3;;;;;;;
2529712;13227TR1;2;1;2;100;1;62071;176;11;Frt46958;MO17;13227TR1;25473000;2;KR 13 A NO 7 54 IN 1;9;0;0;7;2560;-74.23205;4.7148756699;3;;;;;;;
7383159;5523TR1;2;2;0;101;1;62071;176;11;Frt42131;BO28;5523TR1;11001000;2;KR 63 NO 57 G SUR   46;3;0;0;8;2586;-74.1538372173004;4.59768906185982;3;;;;;;;
7570517;70163TR1;2;2;0;101;1;62071;176;11;Frt49066;LP33;70163TR1;11001000;2;KR 69 B NO 17 A 75;9;0;0;7;2576;-74.12187111;4.646856219;3;;;;;;;
1593765;34568TR1;2;1;2;100;1;62071;176;11;Frt47740;LP23;34568TR1;11001000;2;AK 68 D NO 13 67;0;0;0;7;2583;-74.12175772;4.641178679;3;;;;;;;
723571;40400TR1;2;1;2;100;1;62071;176;11;Frt47739;AU37;40400TR1;11001000;2;KR 50 NO 130 49;0;0;0;8;2590;-74.05664299;4.71731981;3;;;;;;;
6516466;89886TR1;2;1;2;100;2;62071;176;11;Frt47729;SJ26;89886TR1;11001000;2;KR 14 NO 09 48;3;0;0;3;2606;-74.08177544;4.6005266279;3;;;;;;;
6516465;89886TR1;2;1;2;100;2;62071;176;11;Frt47727;SJ26;89886TR1;11001000;2;KR 14 NO 09 48;9;0;0;8;2621;-74.08177544;4.6005266279;3;;;;;;;
1441968;2749TR1;2;1;2;100;1;62071;176;11;Frt47683;BO18;2749TR1;11001000;2;CL 37 A SUR NO 68 I 59;9;0;0;7;2580;-74.13769431;4.608615307;3;;;;;;;
2382061;62032TR1;2;2;0;101;2;62071;176;11;Frt39821;FO28;62032TR1;11001000;2;KR 123 NO 14   37;9;0;0;7;2579;-74.1685735065304;4.68151745615066;3;;;;;;;
425903;75240TR1;2;1;2;0;2;62071;176;11;Frt07392;CR16;75240TR1;11001000;2;CL 35 7 57;0;0;0;8;;-74.06680146;4.622788007;3;;;;;;;
425775;73161TR1;2;1;2;0;2;62071;176;11;Frt07361;CR16;73161TR1;11001000;2;KR 13 34 76;0;0;0;8;;-74.06739629;4.621643083;3;;;;;;;
4571969;87315TR1;2;2;0;101;1;62071;176;11;Frt28880;US33;87315TR1;11001000;2;A CRA 7 No 118 50;0;0;0;8;2630;-74.03181681;4.695763892;3;;;;;;;
357217;674TR1;2;1;2;0;2;62071;176;11;Frt49115;VE28;674TR1;11001000;2;AVE 6 NO 34 32 42 60;9;0;0;7;2592;-74.101984;4.6106257;3;;;;;;;
405015;35192TR1;2;2;0;101;1;62071;176;11;Frt49440;LP26;35192TR1;11001000;2;KR 65 NO 14 61;9;0;0;7;2575;-74.114043;4.6363131;3;;;;;;;
1617832;84139TR1;2;2;0;101;1;62071;176;11;Frt49509;TE31;84139TR1;11001000;2;CL 35 SUR NO 69 27;9;0;0;7;2585;-74.137202;4.6113608;3;;;;;;;
4167616;85418TR1;2;2;0;101;1;62071;176;21;Frt43695;SB13;85418TR1;25214000;1;MP COTA VD PARCELAS PARQUE INDUSTRIAL LUTRANS;9;0;0;7;2567;-74.12899899;4.7586364999;3;;;;;;;
523110;76026TR1;2;2;0;101;1;62071;176;11;Frt09999;CT12;76026TR1;11001000;3;K 16A 82 37;1;0;0;9;;-74.0575605;4.668446205;3;;;;;;;
515441;22459TR2;2;1;2;100;2;62071;176;11;Frt11177;CS37;22459TR2;11001000;3;K 16A 84A 09 Con 323 Ed Almirante Colon;1;0;0;9;2650;-74.05651065;4.669971212;3;;;;;;;
2316836;60687TR1;2;1;2;0;2;62071;176;11;Frt23855;CT17;60687TR1;11001000;2;AK 19 CL 102  31 BL LC 3 1 C E CHICO 5000;1;0;0;8;2551.65;-74.05297248;4.688041224;3;;;;;;;
440691;19473TR1;2;1;2;100;2;62071;176;11;Frt23717;CS15;19473TR1;11001000;2;CARRERA 7 No 63 29 PISO 1;1;0;0;8;2586.91;-74.06025844;4.648066483;3;;;;;;;
440690;19473TR1;2;1;2;100;2;62071;176;11;Frt23718;CS15;19473TR1;11001000;2;CARRERA 7 No 63  25;1;0;0;8;2587.75;-74.06025844;4.648066483;3;;;;;;;
1638766;37100TR1;2;1;2;100;2;62071;176;11;Frt23713;SA34;37100TR1;11001000;2;AK 68 No22 45;1;0;0;8;2562.68;-74.10975139;4.646338851;3;;;;;;;
2075011;44793TR1;2;1;2;100;2;62071;176;11;Frt23701;AU27;44793TR1;11001000;2;CALLE 134A No 23 72;1;0;0;8;2650;-74.05080818;4.720144558;3;;;;;;;
141874;30414TR1;2;1;2;100;2;62071;176;11;Frt23716;MZ19;30414TR1;11001000;2;AVENIDA AUTOPISTA AUT SUR 12 10;1;0;0;8;2567.39;-74.10883087;4.597808599;3;;;;;;;
141884;30414TR1;2;1;2;100;2;62071;176;11;Frt23864;MZ19;30414TR1;11001000;2;CALLE 12 SUR No30 15;1;0;0;8;2605.38;-74.10883087;4.597808599;3;;;;;;;
3293051;59828TR1;2;1;2;100;1;62071;176;11;Frt28260;AU21;59828TR1;11001000;2;CALLE 138 No 53A  50;1;0;0;8;2553.1;-74.06599874;4.729073146;3;;;;;;;
3293055;59828TR1;2;1;2;100;1;62071;176;11;Frt28262;AU21;59828TR1;11001000;2;CALLE 138 No 53A  50;1;0;0;8;2555.79;-74.06599874;4.729073146;3;;;;;;;
3293052;59828TR1;2;1;2;100;1;62071;176;11;Frt28255;AU21;59828TR1;11001000;2;CL 138 CR 53 A 50;1;0;0;8;2556.01;-74.06599874;4.729073146;3;;;;;;;
3900397;83200TR4;2;1;2;0;2;62071;176;11;Frt28693;MR32;83200TR4;11001000;2;AVENIDA CARRERA 72 No 80 94 LC 4 27 CC TITAN;1;0;0;8;2548.16;-74.08763731;4.695283708;3;;;;;;;
886017;9537TR1;2;1;2;100;1;62071;176;11;Frt23705;SU13;9537TR1;11001000;2;CARRERA 23 No 166 59;1;0;0;8;2556.43;-74.04597036;4.748420882;3;;;;;;;
515316;22549TR1;2;1;2;100;2;62071;176;11;Frt23828;CT26;22549TR1;11001000;2;CALLE 85 No 7 13 APARTAMENTO 200 P2 LA CABRERA;1;0;0;8;2593.6;-74.04713801;4.66485496;3;;;;;;;
1637853;4460TR2;2;1;2;100;2;62071;176;11;Frt04893;AJ22;4460TR2;11001000;2;CALLE 147 No 12  02;1;0;0;8;2557.55;-74.02680519;4.723461547;3;;;;;;;
6802094;91811TR1;2;1;2;0;2;62071;176;11;Frt33556;US24;91811TR1;11001000;2;CALLE 96 No 10 72 OF 201 PISO 2;0;0;0;8;2563.79;-74.0448679;4.679263558;3;;;;;;;
6456719;77268TR1;2;1;2;0;2;62071;176;11;Frt30692;CS28;77268TR1;11001000;2;CALLE 53 B No 24  55 PISO 6 LOCAL 601;1;0;0;8;2552.68;-74.07417082;4.642999704;3;;;;;;;
2501211;71242TR2;2;1;2;0;1;62071;176;11;Frt30535;US25;71242TR2;11001000;2;CALLE 110 NO 9 A  70 INT 116;1;0;0;8;2562.07;-74.03726575;4.690517682;3;;;;;;;
663369;40129TR1;2;1;2;100;1;62071;176;11;Frt30871;AU23;40129TR1;11001000;2;CALLE 138 No 10 A  42;1;0;0;8;2560.55;-74.03374016;4.718383476;3;;;;;;;
2552828;72323TR1;2;1;2;100;2;62071;176;11;Frt23712;TB19;72323TR1;11001000;2;AK 106 No149 27 INT 2  69 IN 2 69 CC PLAZA IMPERI;1;0;0;8;2555.1;-74.09505677;4.750791163;3;;;;;;;
6639123;87719TR1;2;1;2;0;2;62071;176;11;Frt33286;IA18;87719TR1;25126000;1;MP CHIA AV PASEO DE LOS ZIPAS CC FONTANAR ANCLA 1;1;0;0;8;2557.49;-74.03429802;4.88537918;3;;;;;;;
1047597;39975TR1;2;2;2;0;2;62071;176;11;Frt30036;MR29;39975TR1;11001000;2;CARRERA 58 No 127 59 AP 2181;1;0;0;8;2560.48;-74.07094234;4.712065176;3;;;;;;;
390663;34450TR1;2;1;2;100;1;62071;176;11;Frt49724;LP21;34450TR1;11001000;2;KR 66 A NO 11 15;9;0;0;7;2589;-74.11881268;4.633932221;3;;;;;;;
